	category	 package 	 min_sdk 	 targ_sdk 	 #Services 
431	COMICS	com.marineapp.mangared	26	16	8
432	COMICS	com.marvel.comics	23	10	3
433	COMICS	com.marvel.unlimited	27	19	7
434	COMICS	com.master.hd.wallpapers.backgrounds	21	9	0
435	BUSINESS	com.blackberry.docstogo.gdapp	25	19	2
436	COMICS	com.nhn.android.webtoon	27	16	14
437	BUSINESS	com.boxer.email	25	21	80
438	COMICS	com.opuin.ear.spy	25	16	1
439	COMICS	com.picfix.avatarmakerpro	26	11	0
440	COMICS	com.picfix.cartoonmaker	24	11	5
441	COMICS	com.pixelart.superhero.colorbynumber	27	16	0
442	COMICS	com.qianxun.comic	23	15	17
443	COMICS	com.rcbhuls.myheroindexapp	25	16	0
444	COMICS	com.rookiestudio.perfectviewer	27	9	4
445	COMICS	com.sans.songs.lyrics.undertale.joel	25	14	6
446	COMICS	com.sardev.Storybooth	24	14	0
447	COMICS	com.Tattletail.video.songs.joel	25	14	6
448	COMICS	com.teasoft.mangahub	22	15	12
449	COMICS	a.and.aviad.wallpaper	27	19	4
450	COMICS	com.acensioo.lol.surprise.dolls	23	15	1
451	COMICS	com.acg.manga	26	16	9
452	COMICS	com.bodhaguru.Comicker	25	15	2
453	COMICS	com.thegioitruyen.truyenmanga	26	16	18
454	COMICS	com.toomics.zzamtoon.google	23	15	7
455	COMICS	com.troom.troom.es.LKJIG	21	14	4
456	COMICS	com.crunchyroll.crmanga	26	14	0
457	COMICS	com.cuphead.cuphead.video.songs.joel	25	14	6
458	COMICS	com.cyo.comicrack.viewer.free	21	8	2
459	COMICS	com.dccomics.comics	23	10	3
460	COMICS	com.delitoon	22	16	12
461	COMICS	com.dj.botaodememes	25	14	2
462	COMICS	com.dogs.five	27	16	12
463	COMICS	com.edgewalk.annabel	24	14	4
464	COMICS	com.energysh.drawshow	27	15	11
465	COMICS	com.five.nights.at.freddys.joel	26	14	6
466	COMICS	com.five.nights.at.freddys.songs.joel	25	14	6
467	COMICS	com.free.comic.all	26	15	1
468	COMICS	com.fueneco.talking.photos	25	9	1
469	COMICS	com.videogyan.tootooshows	26	16	5
470	COMICS	com.viewer.comicscreen	27	14	6
471	COMICS	com.viz.wsj.android	27	16	15
472	COMICS	com.vizmanga.android	27	16	15
473	COMICS	com.waci11.MuOuRen	27	16	0
474	COMICS	com.webcomics.manga	22	16	13
475	COMICS	com.weplay.dragonball	27	15	0
476	COMICS	com.wxh.manhuaren	23	9	12
477	COMICS	com.yugartya.pregnancytest	21	10	0
478	COMICS	com.zach.wilson.magic.app	20	14	0
479	COMMUNICATION	ch.protonmail.android	25	15	8
480	COMMUNICATION	co.happybits.marcopolo	25	18	35
481	COMMUNICATION	com.adhoclabs.burner	25	16	20
482	COMICS	com.zg.offroad.Oil.tanker.transporter.truck.cargo.simulator	22	15	9
483	COMMUNICATION	com.avast.android.vpn	24	16	28
484	COMICS	com.GLORYSTUDIO.BENDYINKMACHINEVideoSongs.bestmusic.bestvideo.bestfilm	26	14	6
485	COMMUNICATION	com.blizzard.messenger	25	21	8
486	COMICS	com.vicart.emojimaker	25	15	5
487	COMMUNICATION	com.calea.echo	22	16	75
488	COMMUNICATION	com.callapp.contacts	21	16	22
489	COMMUNICATION	com.cloudmosa.puffinFree	24	16	4
490	COMMUNICATION	com.cmcm.whatscalllite	22	14	29
491	COMMUNICATION	com.contapps.android	23	15	36
492	COMMUNICATION	com.discord	27	16	11
493	COMMUNICATION	com.disney.disneygif_goo	25	16	5
494	COMMUNICATION	com.edupad.messenger	25	19	12
495	COMMUNICATION	com.emoji.keyboard.touchpal	26	15	30
496	COMMUNICATION	com.enflick.android.tn2ndLine	23	14	64
497	COMMUNICATION	com.facebook.mlite	26	9	23
498	COMMUNICATION	com.facebook.talk	23	19	44
499	COMMUNICATION	com.melonsapp.privacymessenger	22	15	22
500	COMICS	com.iversecomics.archie.android	25	18	3
501	COMICS	com.lanhuong.manga	28	15	12
502	COMMUNICATION	com.mrnumber.blocker	27	21	11
503	COMMUNICATION	com.my.mail	26	19	41
504	COMMUNICATION	com.opera.browser	27	23	50
505	COMMUNICATION	com.playstation.mobilemessenger	24	16	7
506	COMMUNICATION	com.psiphon3.subscription	26	14	3
507	COMMUNICATION	com.rebelvox.voxer	25	15	23
508	COMMUNICATION	com.rebtel.android	27	21	29
509	COMMUNICATION	com.ringapp	27	21	18
510	COMMUNICATION	com.riotgames.mobile.leagueconnect	27	16	11
511	COMMUNICATION	com.rsa.securidapp	16	16	0
512	COMMUNICATION	com.samsung.accessory	24	15	5
513	COMMUNICATION	com.sec.android.app.sbrowser	26	21	50
514	COMMUNICATION	com.whatsphone.messenger.im	27	16	10
515	COMICS	watch.cartoon.hd	26	16	2
516	COMMUNICATION	im.thebot.messenger	22	17	8
517	COMMUNICATION	info.guardianproject.orfox	23	15	20
518	COMMUNICATION	jp.naver.line.android	25	16	30
519	COMMUNICATION	kik.android	22	16	20
520	COMMUNICATION	me.nextplus.smsfreetext.phonecalls	27	16	38
521	COMMUNICATION	me.talkyou.app.im	25	16	25
522	COMMUNICATION	messengerchatapp.new17.update2017	27	16	16
523	COMMUNICATION	mobi.drupe.app	24	16	21
524	COMMUNICATION	nl.alphaapps.checkforhotmail	26	19	21
525	COMMUNICATION	org.adblockplus.adblockplussbrowser	27	21	0
526	COMMUNICATION	org.adblockplus.browser	23	15	23
527	COMMUNICATION	org.mistergroup.muzutozvednout	25	14	4
528	COMMUNICATION	org.mozilla.firefox	23	16	28
529	DATING	air.com.flaxbin.chat	27	14	0
530	COMMUNICATION	org.myklos.btautoconnect	21	11	2
531	DATING	cdff.mobileapp	23	16	11
532	DATING	chat.withgirls	22	9	10
533	DATING	co.adultfnder.android	23	16	5
534	COMMUNICATION	park.outlook.sign.in.client	26	19	39
535	DATING	co.dilmil.android	25	21	14
536	DATING	co.zodiacmatch.freedating	24	16	0
537	COMMUNICATION	xyz.klinker.messenger	28	21	48
538	DATING	com.appsgratis.loveinafrica	26	16	14
539	DATING	com.asiandating.matchtrav	27	15	8
540	DATING	com.atranssexualdate	26	16	3
541	DATING	com.bewild.dating.android	23	17	7
542	DATING	com.blend.camera.effect.kuji	26	19	9
543	DATING	com.blendr.mobile	23	21	37
544	DATING	com.buzzarab.buzzarab	24	16	11
545	DATING	com.match.android.matchmobile	26	19	12
546	DATING	com.matchocean.com.app	22	14	0
547	DATING	com.mbs.apps.adultemojis	22	15	0
548	DATING	com.millionairedating.millionairematch	22	16	14
549	DATING	com.mingle.justsayhi	27	16	26
550	DATING	com.muzmatch.muzmatchapp	27	15	7
551	COMMUNICATION	com.hsv.freeadblockerbrowser	23	21	71
552	DATING	com.narchat.canada	23	16	6
553	DATING	com.nobluffdating.com.app	22	14	0
554	COMMUNICATION	com.imo.android.imoim	21	14	13
555	DATING	com.once.android	27	16	17
556	DATING	com.peoplemedia.blackpeoplemeet	22	19	7
557	DATING	com.peoplemedia.ourtime	22	19	7
558	DATING	com.peoplemedia.singleparentmeet	22	19	7
559	DATING	com.random.chat.app	27	15	7
560	DATING	com.rusdate.net	26	17	13
561	DATING	com.secretarrangement.co.uk.app	22	14	0
562	DATING	com.singlemuslim.sm	24	21	1
563	DATING	com.sudy.gay	26	15	8
564	DATING	com.sudyapp	27	15	10
565	COMMUNICATION	com.transsion.phoenix	26	19	17
